,year,north_south,OLD_MODIS_OLD_MODIS_peak_mean,OLD_MODIS_peak_sd,globcolour_peak_mean,globcolour_peak_sd
1,1998,north,NA,NA,156.1428571,5.431987988
2,1998,south,NA,NA,149.4705882,16.42723707
3,1999,north,NA,NA,151.24,9.836541619
4,1999,south,NA,NA,141.1481481,15.73292115
5,2000,north,NA,NA,142.4915254,10.01786831
6,2000,south,NA,NA,147.1428571,14.86842728
7,2001,north,NA,NA,139.8923077,11.56519979
8,2001,south,NA,NA,140.4285714,15.09106556
9,2002,north,NA,NA,144.4929577,11.29206199
10,2002,south,NA,NA,135.2857143,23.52075624
11,2003,north,127.0923077,17.45505217,128.8888889,12.87814565
12,2003,south,109.5357143,25.659281,119.4285714,25.43216084
13,2004,north,126.7794118,13.15106895,130.4444444,10.03218607
14,2004,south,128.2727273,16.13077866,132.7142857,14.62962659
15,2005,north,134.4461538,12.52875539,139.0606061,12.9423322
16,2005,south,121.7222222,15.91061906,125.1428571,17.625837
17,2006,north,144.9811321,9.157784763,149.6857143,7.173911789
18,2006,south,143.3392857,12.59765748,144.2857143,11.18719119
19,2007,north,135.4909091,9.585623354,140.6307692,8.298285272
20,2007,south,125.5652174,21.70269023,124.36,19.85021462
21,2008,north,146.4528302,13.09810033,150.75,8.725077887
22,2008,south,133.7857143,16.68873684,133.8571429,16.54902202
23,2009,north,144.26,11.48878779,149,7.406560798
24,2009,south,139.9464286,12.51532826,141,11.91484941
25,2010,north,141.2063492,8.395772227,144.75,6.680937108
26,2010,south,125.9454545,13.76578983,130,11.87204509
27,2011,north,137.2878788,9.439304328,141,9.305279969
28,2011,south,132.4642857,14.73766268,137.7142857,14.29267363
29,2012,north,147.3461538,10.886013,149.8163265,8.98070494
30,2012,south,130.1041667,12.64951363,133.6666667,13.98682257
31,2013,north,145.4603175,10.15338081,148.7192982,10.89848349
32,2013,south,131.02,12.07880586,133.7692308,13.27922657
33,2014,north,135.9761905,18.6540888,133.9655172,16.62482346
34,2014,south,125.5192308,10.87629259,127.7142857,11.23907839
35,2015,north,133.7666667,13.18752192,136.9402985,14.49752392
36,2015,south,142.3818182,11.4818551,143.5714286,11.42701288
37,2016,north,130.8358209,15.44354039,135.9850746,14.52843871
38,2016,south,133.1964286,16.20484736,132.2857143,12.51285054
39,2017,north,128.7,6.603358829,132.5362319,5.637531036
40,2017,south,112.1272727,14.00403982,116.8571429,17.75738368
41,2018,north,143.3382353,23.55407262,144.3333333,23.40097506
42,2018,south,152.7818182,13.25210103,153.7142857,16.41475421
43,2019,north,135.0869565,23.82641831,130.4857143,24.46099697
44,2019,south,127.6363636,16.70923856,120.5714286,19.41213973
45,2020,north,139.3809524,14.9983102,140.0666667,11.79179069
46,2020,south,129.4285714,13.45140363,131.5714286,15.11033017
47,2021,north,143.0571429,10.35302338,141.6779661,13.0601271
48,2021,south,142,12.6578917,133.8571429,20.27755461
49,2022,north,NA,NA,130.7971014,13.98379284
50,2022,south,NA,NA,123.4285714,12.52612854
