,year,north_south,gl_type,count
1,1998,north,ice_free,7
2,1998,north,ice_full,65
3,1998,south,ice_free,49
4,1998,south,ice_full,7
5,1999,north,ice_free,2
6,1999,north,ice_full,70
7,1999,south,ice_free,34
8,1999,south,ice_full,22
9,2000,north,ice_free,3
10,2000,north,ice_full,69
11,2000,south,ice_free,56
12,2001,north,ice_free,4
13,2001,north,ice_full,68
14,2001,south,ice_free,55
15,2001,south,ice_full,1
16,2002,north,ice_free,11
17,2002,north,ice_full,61
18,2002,south,ice_free,56
19,2003,north,ice_free,8
20,2003,north,ice_full,64
21,2003,south,ice_free,39
22,2003,south,ice_full,17
23,2004,north,ice_free,6
24,2004,north,ice_full,66
25,2004,south,ice_free,43
26,2004,south,ice_full,13
27,2005,north,ice_free,4
28,2005,north,ice_full,68
29,2005,south,ice_free,47
30,2005,south,ice_full,9
31,2006,north,ice_free,1
32,2006,north,ice_full,71
33,2006,south,ice_free,34
34,2006,south,ice_full,22
35,2007,north,ice_free,7
36,2007,north,ice_full,65
37,2007,south,ice_free,16
38,2007,south,ice_full,40
39,2008,north,ice_free,2
40,2008,north,ice_full,70
41,2008,south,ice_free,25
42,2008,south,ice_full,31
43,2009,north,ice_free,7
44,2009,north,ice_full,65
45,2009,south,ice_free,26
46,2009,south,ice_full,30
47,2010,north,ice_free,2
48,2010,north,ice_full,70
49,2010,south,ice_free,13
50,2010,south,ice_full,43
51,2011,north,ice_free,3
52,2011,north,ice_full,69
53,2011,south,ice_free,31
54,2011,south,ice_full,25
55,2012,north,ice_free,5
56,2012,north,ice_full,67
57,2012,south,ice_free,11
58,2012,south,ice_full,45
59,2013,north,ice_free,1
60,2013,north,ice_full,71
61,2013,south,ice_free,25
62,2013,south,ice_full,31
63,2014,north,ice_free,10
64,2014,north,ice_full,62
65,2014,south,ice_free,50
66,2014,south,ice_full,6
67,2015,north,ice_free,8
68,2015,north,ice_full,64
69,2015,south,ice_free,46
70,2015,south,ice_full,10
71,2016,north,ice_free,13
72,2016,north,ice_full,59
73,2016,south,ice_free,50
74,2016,south,ice_full,6
75,2017,north,ice_free,13
76,2017,north,ice_full,59
77,2017,south,ice_free,20
78,2017,south,ice_full,36
79,2018,north,ice_free,60
80,2018,north,ice_full,12
81,2018,south,ice_free,56
82,2019,north,ice_free,27
83,2019,north,ice_full,45
84,2019,south,ice_free,56
85,2020,north,ice_free,9
86,2020,north,ice_full,63
87,2020,south,ice_free,50
88,2020,south,ice_full,6
89,2021,north,ice_free,3
90,2021,north,ice_full,69
91,2021,south,ice_free,56
92,2022,north,ice_free,4
93,2022,north,ice_full,68
94,2022,south,ice_free,25
95,2022,south,ice_full,31
